token,trades,sharpe,pnl,win,R,sh1,sh2,pnl1,pnl2
1000SHIBUSDT,185,0.08552749331610693,3.824305875431122,18.91891891891892,0.02067192365097902,-1.0338725004091003,0.9035101168439477,-18.612898032021118,22.43720390745224
1000XECUSDT,178,-0.19628573814707134,-6.5210536567843755,21.34831460674157,-0.036635132903283005,-0.04450250455398618,-0.3980463901662782,-0.8445947547177257,-5.6764589020666465
1INCHUSDT,187,-0.048905210915048694,-1.3670300290984254,24.598930481283425,-0.007310321011221528,0.01911484772951563,-0.16349075533972102,0.33226867791539444,-1.6992987070138201
AAVEUSDT,220,0.3450965051385941,13.80769144086912,22.272727272727273,0.06276223382213234,0.3235191930011516,0.37269007727952136,7.3201186133764695,6.487572827492648
ADAUSDT,189,0.5867054758389634,29.22012314117652,22.75132275132275,0.1546038261437911,-0.43523922445635327,1.3973880644739234,-8.97292033980913,38.193043480985644
ALGOUSDT,204,0.4265678821117919,12.572260654820921,23.03921568627451,0.06162872870010256,0.4800682577669237,0.35243507328597634,8.208199414121953,4.364061240698971
ALICEUSDT,247,0.5700460664070727,19.156051837845762,23.88663967611336,0.07755486574026622,0.3139575298025287,0.7122259446424767,7.535161770650784,11.62089006719498
ALPHAUSDT,174,0.19919436321263922,6.095908331148572,22.413793103448278,0.0350339559261412,0.26521087522888304,0.07308606607286157,5.408000101827146,0.6879082293214208
ANKRUSDT,203,0.3349796695732865,13.983909017868276,23.645320197044335,0.06888625131954819,-0.12353663787489541,0.9503258815767884,-2.9557603878776817,16.939669405745956
ANTUSDT,104,-0.9431688909236619,-17.657866417408314,13.461538461538462,-0.16978717709046456,-1.2525046498109478,,-17.657866417408314,0.0
ARPAUSDT,221,-0.16838167263164483,-8.079961755522383,15.837104072398189,-0.03656091292091576,-0.08193093176557724,-0.2921698030757983,-2.3130479898210647,-5.76691376570132
ARUSDT,230,0.5972530931772543,21.27708735667865,21.304347826086957,0.09250907546382019,0.4453594592278771,0.7701549184425025,8.342517045371194,12.934570311307459
ATAUSDT,175,0.8293456122131134,35.65511466456979,24.571428571428573,0.20374351236897026,1.0521095818775885,0.6383857795462731,21.744754482682893,13.910360181886885
ATOMUSDT,187,0.3007236602259609,8.98597520452286,24.598930481283425,0.048053343339694445,0.1305052027230159,0.48656300382022993,2.0120335650053365,6.973941639517525
AUDIOUSDT,100,0.14409270247299552,4.714514576701204,19.0,0.04714514576701204,0.19117799776412187,,4.714514576701204,0.0
AVAXUSDT,198,0.03598022177185004,1.2457537176754911,18.181818181818183,0.006291685442805542,0.4987988639889077,-0.4451177472680944,8.750195836476976,-7.5044421188014825
AXSUSDT,205,0.7736498095910308,29.521459674435814,25.853658536585368,0.14400712036310154,0.2824772510308154,1.375231407801052,5.927603204240473,23.59385647019534
BAKEUSDT,169,0.7600218432049589,28.84659803113432,20.710059171597635,0.17068992917830958,1.0876452810672477,-0.05303847753763682,29.29096082763109,-0.4443627964967724
BALUSDT,134,-0.09058141996729543,-2.573931042830216,22.388059701492537,-0.0192084406181359,-0.7174749104853343,0.9671255759615957,-12.70998581322304,10.136054770392827
BANDUSDT,210,0.22651609932992955,9.190782955653965,20.0,0.04376563312216169,0.01463050971100849,0.4903247905124727,0.3293138750184707,8.861469080635489
BATUSDT,206,-0.32423983683933877,-10.98108055030993,22.330097087378643,-0.05330621626364041,-1.1098238002100171,0.5223414765635251,-19.43688167372443,8.455801123414503
BCHUSDT,174,0.29225358932977336,10.112282821085095,26.436781609195403,0.058116567937270665,0.7294948527558592,-0.4248923776592682,15.624534292257202,-5.512251471172105
BELUSDT,223,0.35789402188304853,17.652200675930448,19.282511210762333,0.07915785056471054,0.6256991481523387,-0.20738870124206432,20.71196370594159,-3.0597630300111374
BLZUSDT,134,0.09217285569666848,2.97395139675323,17.16417910447761,0.022193667139949504,-0.2634633995227704,,-4.858220048887557,7.8321714456407845
BNBUSDT,121,-0.14534087822512598,-3.668651214630091,23.140495867768596,-0.030319431525868495,0.20609457153057853,-0.7152804501708494,3.1985803477976344,-6.867231562427727
BTCDOMUSDT,48,-1.1785380471069347,-20.685812991261677,25.0,-0.43095443731795163,-0.7264498617024069,,-7.182591203539893,-13.503221787721783
BTCUSDT,133,0.7326418581392337,55.42421989399986,28.57142857142857,0.41672345784962306,0.5899760523733357,0.8945336997509654,17.030060336817204,38.39415955718266
BTSUSDT,27,0.7532252387005014,12.632121610306996,37.03703703703704,0.46785635593729613,0.999927586433284,,12.632121610306996,0.0
C98USDT,244,0.17894289567708233,6.866993059678558,19.262295081967213,0.028143414179010513,-0.09856328080691751,0.4701052260955713,-1.9172522219273485,8.784245281605909
CELOUSDT,206,-0.07236426750077751,-2.357747860858535,19.902912621359224,-0.01144537796533267,-0.11967355237290409,-0.00938587858393208,-2.2263830576941768,-0.13136480316435495
CELRUSDT,217,-0.4279660662850281,-14.222982994407236,18.89400921658986,-0.06554370043505636,-0.1830046520400542,-0.9027716861483015,-2.4818044188505985,-11.741178575556631
CHRUSDT,229,-0.1702475169792424,-6.750376598859799,16.157205240174672,-0.02947762706925675,-0.03759722218271197,-0.3927208134797722,-0.9242956850880237,-5.826080913771775
CHZUSDT,202,0.7945430729614904,38.04774800447648,24.257425742574256,0.18835518814097268,0.48108492856251794,1.2905154624662365,13.999753114952696,24.047994889523785
